influencer_category,followers_count,engagement_rate,campaign_category,audience_match_score,previous_performance,match_label
Fitness,125000,7.82,Fitness,88,91,Strong Match
Technology,45000,3.21,Fashion,32,45,Low Match
Fashion,320000,5.45,Fashion,92,87,Strong Match
Food,18000,8.91,Food,79,82,Strong Match
Travel,95000,4.12,Travel,71,68,Strong Match
Gaming,210000,6.33,Gaming,85,90,Strong Match
Education,8500,2.15,Technology,28,35,Low Match
Lifestyle,55000,5.67,Lifestyle,76,73,Strong Match
Beauty,180000,7.12,Beauty,89,85,Strong Match
Music,32000,3.88,Gaming,41,52,Moderate Match
Fitness,67000,6.91,Fitness,82,88,Strong Match
Technology,890000,4.56,Technology,78,71,Strong Match
Fashion,12000,9.23,Fashion,94,92,Strong Match
Food,43000,3.45,Travel,35,42,Low Match
Travel,156000,5.78,Travel,80,76,Strong Match
Gaming,520000,8.45,Gaming,91,94,Strong Match
Education,28000,4.32,Education,69,65,Strong Match
Lifestyle,75000,6.12,Fitness,72,70,Strong Match
Beauty,95000,7.89,Fashion,86,83,Strong Match
Music,145000,5.23,Music,77,74,Strong Match
Fitness,3500,1.23,Technology,18,22,Low Match
Technology,62000,5.89,Technology,81,78,Strong Match
Fashion,230000,6.78,Beauty,84,80,Strong Match
Food,87000,7.34,Food,88,86,Strong Match
Travel,41000,3.56,Gaming,29,38,Low Match
Gaming,175000,9.12,Technology,83,89,Strong Match
Education,52000,4.78,Education,73,69,Strong Match
Lifestyle,110000,5.34,Lifestyle,75,72,Strong Match
Beauty,340000,8.23,Beauty,93,91,Strong Match
Music,22000,2.67,Food,33,40,Low Match
Fitness,280000,6.45,Fitness,87,84,Strong Match
Technology,15000,3.12,Music,25,30,Low Match
Fashion,68000,7.56,Fashion,83,81,Strong Match
Food,195000,5.89,Food,79,77,Strong Match
Travel,82000,4.45,Travel,70,67,Moderate Match
Gaming,430000,7.78,Gaming,90,92,Strong Match
Education,38000,3.89,Lifestyle,45,51,Moderate Match
Lifestyle,145000,6.67,Lifestyle,82,79,Strong Match
Beauty,56000,8.45,Beauty,85,83,Strong Match
